★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Modality,Target / location,Frequency (Hz),Current (mA),Pulse width (µs),Duty cycle (on/off),Paired therapy,Device,Duration (per session),N sessions / therapy length,Results (☺ positive / modest / ☹ null → conclusions),Link
☺,Epilepsy,First RCT (E03),,Ben-Menachem,Sweden / USA,1994,Epilepsia,Vagus nerve stimulation for treatment of partial seizures: a controlled study (E03),"RCT, n=114",First controlled VNS epilepsy trial,Implanted cervical,Left cervical vagus,30,0.25-3.0,500,30s on / 5min off,—,NCP (Cyberonics),chronic,chronic (implanted),High-stimulation reduced seizure frequency ~24% vs low; launched clinical VNS,https://pubmed.ncbi.nlm.nih.gov/?term=Ben-Menachem%201994%20vagus%20nerve%20stimulation
☺,Epilepsy,Pivotal RCT (E05),,Handforth,USA,1998,Neurology,Vagus nerve stimulation therapy for partial-onset seizures: a randomized active-control trial (E05),"RCT, n=196",Pivotal FDA trial (approved 1997),Implanted cervical,Left cervical vagus,30,up to ~3.5,500,30s on / 5min off,—,NCP,chronic,chronic (implanted),~28% seizure reduction (high) vs ~15% (low) at 3 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Handforth%201998%20vagus%20nerve%20stimulation
☺,Epilepsy,Long-term outcomes,,Morris & Mueller,USA,1999,Neurology,Long-term treatment with vagus nerve stimulation in patients with refractory epilepsy (XE5),"Open-label follow-up, n=440",Efficacy grows over time,Implanted cervical,Left cervical vagus,20-30,1-3.5,250-500,30s on / 5min off,—,NCP,chronic,1-3 yr,Seizure reduction increased to ~44% at 3 yr; efficacy improves over time,https://pubmed.ncbi.nlm.nih.gov/?term=Morris%20Mueller%201999%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,High vs low (mechanism),,DeGiorgio,USA,2000,Epilepsia,Prospective long-term study of vagus nerve stimulation for refractory seizures,"Prospective, n=195",Rapid vs standard cycling,Implanted cervical,Left cervical vagus,30,1.5-2.25,250-500,30s on / 5min off,—,NCP,chronic,1 yr,~45% median seizure reduction at 12 mo,https://pubmed.ncbi.nlm.nih.gov/?term=DeGiorgio%202000%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,QoL RCT (PuLsE),,Ryvlin,France / EU,2014,Epilepsia,Long-term surveillance of VNS + best medical practice vs best medical practice alone (PuLsE),"RCT, n=112",Adjunctive VNS vs medical,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,12 mo,Greater QoL improvement with VNS + medical care vs medical alone,https://pubmed.ncbi.nlm.nih.gov/?term=Ryvlin%202014%20vagus%20nerve%20stimulation
☺,Epilepsy,Large registry / predictors,,Elliott,USA,2011,Epilepsy Behav,Vagus nerve stimulation in 436 consecutive patients with treatment-resistant epilepsy: long-term outcomes,"Retrospective, n=436",Predictors of response,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,varied,—,VNS Therapy,chronic,multi-year,~64% had >=50% seizure reduction long-term; ~9% seizure-free,https://pubmed.ncbi.nlm.nih.gov/?term=Elliott%202011%20vagus%20nerve%20stimulation
☺,Epilepsy,Systematic review,,Englot,USA,2011,J Neurosurg,Vagus nerve stimulation for epilepsy: a meta-analysis of efficacy and predictors of response,"Meta-analysis, 74 studies, n=3321",Pooled outcomes,Implanted cervical,Left cervical vagus,20-30,—,—,varied,—,VNS Therapy,chronic,—,~51% of patients achieve >=50% reduction; efficacy improves over time,https://pubmed.ncbi.nlm.nih.gov/?term=Englot%202011%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,Children RCT,,Klinkenberg,Netherlands,2012,Dev Med Child Neurol,Vagus nerve stimulation in children with intractable epilepsy: randomized controlled trial,"RCT, n=41",High vs low in children,Implanted cervical,Left cervical vagus,30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,chronic,No significant difference high vs low in blinded phase; open benefit,https://pubmed.ncbi.nlm.nih.gov/?term=Klinkenberg%202012%20vagus%20nerve%20stimulation
⚔ ref,Epilepsy,Evidence guideline,,Morris,USA (AAN),2013,Neurology,Evidence-based guideline update: vagus nerve stimulation for the treatment of epilepsy,Guideline,AAN evidence review,Implanted cervical,Left cervical vagus,20-30,—,—,—,—,—,chronic,—,VNS reasonable for refractory epilepsy; efficacy improves over 2 yr; may reduce SUDEP,https://pubmed.ncbi.nlm.nih.gov/?term=Morris%202013%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,Rapid-cycling / seizure detection,,Boon,Belgium,2015,Seizure,Vagus nerve stimulation with cardiac-based seizure detection (AspireSR),Prospective,Closed-loop responsive VNS,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,responsive (cardiac-triggered),—,AspireSR,chronic,chronic,Automatic tachycardia-triggered stimulation aborted/shortened some seizures,https://pubmed.ncbi.nlm.nih.gov/?term=Boon%202015%20vagus%20nerve%20stimulation
