idx,author,year,journal,polarity,anode,cathode,mA,area,density,tmin,nsess,status,source_url,notes
0,Nitsche & Paulus,2000,J Physiol,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,≤13,1,UNCHECKED,,
1,Nitsche & Paulus,2001,Neurology,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,5–13,1,UNCHECKED,,
2,Stagg,2009,J Neurosci,Anodal & cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,UNCHECKED,,
3,Batsikadze,2013,J Physiol,Cathodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,1,UNCHECKED,,
4,Monte-Silva,2013,Brain Stimul,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,13,1,UNCHECKED,,
5,Antal,2004,J Cogn Neurosci,Anodal & cathodal,Oz (visual cortex),Cz (vertex),1,35,0.029,10,1,UNCHECKED,,
6,Reis,2009,PNAS,Anodal,M1 (C3/C4),Contralateral supraorbital,1,25,0.040,20,5,UNCHECKED,,
7,Nitsche,2003,J Cogn Neurosci,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,15,1,UNCHECKED,,
8,Antal,2004,Eur J Neurosci,Anodal,M1 / V5,Contralateral supraorbital,1,35,0.029,10,1,UNCHECKED,,
9,Vines,2008,BMC Neurosci,Anodal+Cathodal (dual),Right M1 (anode),Left M1 (cathode),1,16,0.062,20,1,UNCHECKED,,
10,Stagg,2011,Neuropsychologia,Anodal & cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,UNCHECKED,,
11,Fregni,2005,Exp Brain Res,Anodal,F3 (left DLPFC),Contralateral supraorbital,1,35,0.029,10,1,UNCHECKED,,
12,Ohn,2008,Neuroreport,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,30,1,UNCHECKED,,
13,Andrews,2011,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,10,1,UNCHECKED,,
14,Zaehle,2011,BMC Neurosci,Anodal & cathodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,15,1,UNCHECKED,,
15,Mulquiney,2011,Clin Neurophysiol,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,10,1,UNCHECKED,,
16,Keeser,2011,J Neurosci,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,1,UNCHECKED,,
17,Fecteau,2007,J Neurosci,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,15,1,UNCHECKED,,
18,Cohen Kadosh,2010,Curr Biol,Anodal & cathodal,Right parietal (P4),Left parietal,1,35,0.029,20,6,UNCHECKED,,
19,Floel,2008,J Cogn Neurosci,Anodal,Left temporoparietal (Wernicke),Right supraorbital,1,35,0.029,20,1,UNCHECKED,,
20,Meinzer,2013,J Neurosci,Anodal,Left IFG,Right supraorbital,1,35,0.029,20,1,UNCHECKED,,
21,Boggio,2008,Int J Neuropsychopharmacol,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,UNCHECKED,,
22,Fregni,2006,Bipolar Disord,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,5,UNCHECKED,,
23,Loo,2010,Int J Neuropsychopharmacol,Anodal,F3 (left DLPFC),Lateral (F8 region),1,35,0.029,20,5,UNCHECKED,,
24,Loo,2012,Br J Psychiatry,Anodal,F3 (left DLPFC),Lateral (F8 region),2,35,0.057,20,15,UNCHECKED,,
25,Palm,2012,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,UNCHECKED,,
26,Blumberger,2012,Front Psychiatry,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,15,UNCHECKED,,
27,Bennabi,2015,World J Biol Psychiatry,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,30,10,UNCHECKED,,
28,Brunoni,2013,JAMA Psychiatry,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,10,UNCHECKED,,
29,Brunoni,2017,N Engl J Med,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,22,UNCHECKED,,
30,Loo,2018,Br J Psychiatry,Anodal,F3 (left DLPFC),F8 (right),2.5,35,0.071,30,20,UNCHECKED,,
31,Sampaio-Junior,2018,JAMA Psychiatry,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,22,UNCHECKED,,
32,Segrave,2014,Brain Stimul,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,24,5,UNCHECKED,,
33,Woodham / Fu,2024,Nat Med,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,30,~35,UNCHECKED,,
34,Hummel,2005,Brain,Anodal,Ipsilesional M1,Contralateral supraorbital,1,25,0.040,20,1,UNCHECKED,,
35,Fregni,2005,Neuroreport,Anodal / cathodal,Ipsilesional M1 / contralesional M1,Supraorbital,1,25,0.040,20,1,UNCHECKED,,
36,Boggio,2007,Restor Neurol Neurosci,Anodal / cathodal,Ipsilesional M1 / contralesional M1,Supraorbital,1,35,0.029,20,5,UNCHECKED,,
37,Lindenberg,2010,Neurology,Anodal+Cathodal (dual),Ipsilesional M1 (anode),Contralesional M1 (cathode),1.5,16,0.094,30,5,UNCHECKED,,
38,Bolognini,2011,Neurorehabil Neural Repair,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,40,10,UNCHECKED,,
39,Kim,2010,Am J Phys Med Rehabil,Anodal,Ipsilesional M1,Contralateral supraorbital,2,25,0.080,20,10,UNCHECKED,,
40,Nair,2011,Restor Neurol Neurosci,Cathodal,Contralesional M1,Ipsilesional supraorbital,1,16,0.062,30,5,UNCHECKED,,
41,Allman,2016,Sci Transl Med,Anodal,Ipsilesional M1,Contralateral supraorbital,1,25,0.040,20,9,UNCHECKED,,
42,Khedr,2013,Neurorehabil Neural Repair,Anodal / cathodal,Ipsilesional M1 / contralesional M1,Supraorbital,2,35,0.057,25,6,UNCHECKED,,
43,Hesse,2011,Restor Neurol Neurosci,Anodal,Ipsilesional M1,Contralateral supraorbital,2,35,0.057,20,30,UNCHECKED,,
44,Baker,2010,Stroke,Anodal,Left frontal (perilesional),Right supraorbital,1,—,—,20,5,UNCHECKED,,
45,Fridriksson,2011,Stroke,Anodal,Left posterior perisylvian,Right supraorbital,1,—,—,20,5,UNCHECKED,,
46,Fridriksson,2018,Brain,Anodal,Left IFG,Right supraorbital,1,—,—,20,15,UNCHECKED,,
47,Marangolo,2011,Behav Brain Res,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,5,UNCHECKED,,
48,Meinzer,2016,Brain,Anodal,Left primary motor / IFG,Right supraorbital,1,—,—,20,8,UNCHECKED,,
49,You,2011,Brain Lang,Cathodal / anodal,Right STG / left STG,Contralateral,2,35,0.057,30,10,UNCHECKED,,
50,Fiori,2013,Restor Neurol Neurosci,Anodal,Left Wernicke (temporoparietal),Right supraorbital,1,—,—,20,5,UNCHECKED,,
51,Ko,2008,Neurosci Lett,Anodal,Right posterior parietal,Left supraorbital,2,35,0.057,20,1,UNCHECKED,,
52,Sparing,2009,Brain,Anodal / cathodal,Right PPC (anode) / left PPC (cathode),Contralateral,1,35,0.029,10,1,UNCHECKED,,
53,Sunwoo,2013,Neurosci Lett,Anodal+Cathodal (dual),Right PPC,Left PPC,1,35,0.029,20,1,UNCHECKED,,
54,Fregni,2006,Arthritis Rheum,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
55,Valle,2009,J Pain Manag,Anodal,M1 (C3) / F3,Contralateral supraorbital,2,35,0.057,20,10,UNCHECKED,,
56,Fagerlund,2015,Pain,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
57,Villamar,2013,J Pain,Anodal & cathodal,M1 (C3) 4×1 ring,4× surround,2,HD 4×1,—,20,1,UNCHECKED,,
58,Fregni,2006,Pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
59,Soler,2010,Brain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,10,UNCHECKED,,
60,Bolognini,2015,J Pain,Anodal,M1 (contralateral to phantom),Contralateral supraorbital,1.5,35,0.043,15,5,UNCHECKED,,
61,Antal,2011,Cephalalgia,Cathodal,Occipital / visual cortex (Oz),Vertex (Cz),1,35,0.029,15,multiple,UNCHECKED,,
62,DaSilva,2012,Headache,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,10,UNCHECKED,,
63,Benninger,2010,J Neurol Neurosurg Psychiatry,Anodal,Motor & prefrontal (alternating),Extracephalic / mastoid,2,25,0.080,20,8,UNCHECKED,,
64,Fregni,2006,Mov Disord,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,20,1,UNCHECKED,,
65,Boggio,2006,J Neurol Sci,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,1,UNCHECKED,,
66,Kaski,2014,Clin Neurophysiol,Anodal,M1 / leg motor area,Contralateral supraorbital,2,35,0.057,15,1,UNCHECKED,,
67,Costa-Ribeiro,2017,J Neurol,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,13,10,UNCHECKED,,
68,Doruk,2014,Neurosci Lett,Anodal,F3 / F4 (DLPFC),Contralateral supraorbital,2,35,0.057,20,10,UNCHECKED,,
69,Benussi,2015,Mov Disord,Anodal,Cerebellum (midline),Right deltoid / buccinator,2,35,0.057,20,1,UNCHECKED,,
70,Benussi,2018,Neurology,Anodal,Cerebellum + spinal,—,2,35,0.057,20,10,UNCHECKED,,
71,Brunelin,2012,Am J Psychiatry,Anodal + cathodal,"Left DLPFC (F3, anode)",Left temporoparietal (cathode),2,35,0.057,20,10,UNCHECKED,,
72,Mondino,2016,Schizophr Res,Anodal + cathodal,Left DLPFC (F3),Left temporoparietal,2,35,0.057,20,10,UNCHECKED,,
73,Valiengo,2020,JAMA Psychiatry,Anodal,F3 (left DLPFC),Left temporoparietal,2,25,0.080,20,10,UNCHECKED,,
74,Palm,2016,Schizophr Bull,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,UNCHECKED,,
75,Smith,2015,Schizophr Res,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,5,UNCHECKED,,
76,Kantrowitz,2019,Schizophr Bull? / Neuropsychopharmacology,Anodal + cathodal,Left DLPFC (F3),Left temporoparietal,2,35,0.057,20,10,UNCHECKED,,
77,Boggio,2008,Drug Alcohol Depend,Anodal/cathodal (bilateral),Right or left DLPFC,Contralateral DLPFC,2,35,0.057,20,1,UNCHECKED,,
78,Klauss,2014,Int J Neuropsychopharmacol,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,13,5,UNCHECKED,,
79,Klauss,2018,Front Pharmacol,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,UNCHECKED,,
80,Fregni,2008,J Clin Psychiatry,Anodal/cathodal (bilateral),Left DLPFC (F3),Right DLPFC (F4),2,35,0.057,20,1,UNCHECKED,,
81,Boggio,2009,Drug Alcohol Depend,Anodal L / cathodal R,Left DLPFC (F3),Right DLPFC (F4),2,35,0.057,20,5,UNCHECKED,,
82,Fecteau,2014,Drug Alcohol Depend,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,30,5,UNCHECKED,,
83,Batista,2015,Front Psychiatry? / Drug Alcohol Depend,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,UNCHECKED,,
84,Boggio,2010,J Psychopharmacol,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,UNCHECKED,,
85,Fregni,2008,Appetite,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,1,UNCHECKED,,
86,Goldman,2011,Appetite,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,UNCHECKED,,
87,Jauch-Chara,2014,Diabetes,Anodal,Prefrontal,Extracephalic,1,35,0.029,20,8,UNCHECKED,,
88,Fregni,2006,Epilepsia,Cathodal,Epileptogenic focus,Contralateral / extracephalic,1,35,0.029,20,1,UNCHECKED,,
89,Auvichayapat,2013,Brain Stimul,Cathodal,Epileptogenic focus,Contralateral shoulder,1,35,0.029,20,1,UNCHECKED,,
90,San-Juan,2017,Brain Stimul,Cathodal,Temporal focus,Contralateral,2,35,0.057,30,3,UNCHECKED,,
91,Yang,2020,Epilepsia / Ann Clin Transl Neurol,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,14,UNCHECKED,,
92,Leffa,2022,JAMA Psychiatry,Anodal,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,30,28,UNCHECKED,,
93,Cachoeira,2017,Psychiatry Res,Anodal,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,UNCHECKED,,
94,Soltaninejad,2019,J Atten Disord,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,15,1,UNCHECKED,,
95,Cosmo,2015,PLoS One,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,1,UNCHECKED,,
96,Amatachaya,2014,Behav Neurol,Anodal,F3 (left DLPFC),Right shoulder,1,35,0.029,20,1,UNCHECKED,,
97,Amatachaya,2015,Neural Plast,Anodal,F3 (left DLPFC),Right shoulder,1,35,0.029,20,1,UNCHECKED,,
98,Zemestani,2022,Autism Res,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,UNCHECKED,,
99,Vanneste,2010,Exp Brain Res,Anodal R / cathodal L,Right DLPFC,Left DLPFC,1.5,35,0.043,20,1,UNCHECKED,,
100,Fregni,2006,Eur J Neurol,Anodal,Left temporoparietal (auditory),Contralateral supraorbital,1,35,0.029,3,1,UNCHECKED,,
101,Frank,2012,J Neurol,Anodal R / cathodal L,Right DLPFC,Left DLPFC,1.5,35,0.043,30,6,UNCHECKED,,
102,Pal,2015,Brain Stimul,Cathodal (auditory) + anodal (PFC),Prefrontal,Left auditory cortex,2,35,0.057,20,5,UNCHECKED,,
103,Ferrucci,2008,Neurology,Anodal,Bilateral temporoparietal,Right deltoid,1.5,35,0.043,15,1,UNCHECKED,,
104,Boggio,2009,J Neurol Neurosurg Psychiatry,Anodal,Bilateral temporal (T3/T4),Right deltoid,2,35,0.057,30,1,UNCHECKED,,
105,Boggio,2012,Brain Stimul,Anodal,Bilateral temporal (T3/T4),Right deltoid,2,35,0.057,30,5,UNCHECKED,,
