# NeurOne tDCS Research Database — Verification Ledger
# File: tdcs_verification_ledger.csv     Companion to: tdcs_database_full.csv
# Generated: 2026-07-05 (Claude Code session)
#
# WHAT THIS IS
#   Per-study verification tracking for the 237-study tDCS research database
#   (tdcs_database_full.csv). One row per study; 'status' records whether each
#   study's protocol parameters were confirmed against a primary source.
#
# HOW THE DATABASE WAS CREATED
#   - Schema mirrors the PBM research database (V. Heiskanen) supplied as the model;
#     columns L-S of that schema were replaced with tDCS protocol parameters:
#     type/polarity, anode site, cathode/ref site, current (mA), electrode area
#     (cm2), current density (mA/cm2), duration (min), and number of sessions.
#   - 237 studies were compiled across ~30 indications (1964-2024) from domain
#     knowledge plus targeted literature web searches. No citations were fabricated;
#     only studies anchored to a real author/year/journal are included.
#   - Current density was computed deterministically as current(mA)/area(cm2);
#     HD-tDCS ring montages and unconfirmed areas are left blank, not guessed.
#
# HOW VERIFICATION WAS DONE
#   - Primary full texts were retrieved by automated web fetch where openly
#     accessible (PMC, Frontiers, Nature/PMC, PLoS, journal HTML). Each paper's
#     Methods were checked for electrode area, current, duration, sessions and
#     montage; discrepancies were corrected in the database and densities recomputed.
#   - Paywalled/blocked journals (NEJM, JAMA Psychiatry, Neurology, Brain, PNAS,
#     Neuropsychopharmacology, much of Elsevier/Wiley) could not be opened and are
#     marked UNVERIFIED; their values are as-reported/standard, NOT PDF-confirmed.
#
# STATUS CODES
#   VERIFIED   = all listed protocol cells confirmed against the primary full text.
#   PARTIAL    = some cells (or electrode area) confirmed; remainder not
#                full-text-confirmed, usually because the primary source is paywalled.
#   UNVERIFIED = full text not openly accessible; values not PDF-confirmed.
#
# CORRECTIONS FOUND DURING VERIFICATION (applied to the database)
#   Nitsche & Paulus 2000 duration <=13 -> <=5 min; Baker 2010 cathode -> right
#   shoulder & area -> 25 cm2; Klauss 2018 sessions 5 -> 10; Woodham 2024 area
#   35 -> 23 cm2 & sessions -> 36; Hummel 2005 / Fregni 2005 (stroke) area -> 25 cm2.
#
# COUNTS: VERIFIED=7  PARTIAL=5  UNVERIFIED=225  TOTAL=237
#
idx,first_author,year,journal,polarity,anode,cathode,current_mA,electrode_area_cm2,current_density_mA_cm2,duration_min,n_sessions,status,status_detail_source_or_reason
0,Nitsche & Paulus,2000,J Physiol,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,≤5,1,VERIFIED,"VERIFIED (PMC2270099): 35 cm², 0.2–1.0 mA, ≤5 min, M1 / contralateral orbit"
1,Nitsche & Paulus,2001,Neurology,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,5–13,1,UNVERIFIED,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
2,Stagg,2009,J Neurosci,Anodal & cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,UNVERIFIED,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
3,Batsikadze,2013,J Physiol,Cathodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
4,Monte-Silva,2013,Brain Stimul,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,13,1,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
5,Antal,2004,J Cogn Neurosci,Anodal & cathodal,Oz (visual cortex),Cz (vertex),1,35,0.029,10,1,UNVERIFIED,"UNVERIFIED — J Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
6,Reis,2009,PNAS,Anodal,M1 (C3/C4),Contralateral supraorbital,1,25,0.040,20,5,PARTIAL,"PARTIAL — PNAS paywalled; montage (M1/right supraorbital), 20 min, 5 sessions consistent w/ source; area 25 cm² & 1 mA NOT source-confirmed"
7,Nitsche,2003,J Cogn Neurosci,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,15,1,UNVERIFIED,"UNVERIFIED — J Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
8,Antal,2004,Eur J Neurosci,Anodal,M1 / V5,Contralateral supraorbital,1,35,0.029,10,1,UNVERIFIED,"UNVERIFIED — Eur J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
9,Vines,2008,BMC Neurosci,Anodal+Cathodal (dual),Right M1 (anode),Left M1 (cathode),1,16,0.062,20,1,UNVERIFIED,"UNVERIFIED — BMC Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
