★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Type / polarity,Anode site,Cathode / ref site,Current (mA),Electrode size (cm²),Current density (mA/cm²),t / min,N sessions,Results:  positive ☺ / modest ☺ / null ☹  ↑ ↓ →  (conclusions),Link,Additional info,Comment,Reply,Additional info (2)
★,Physiology / mechanism,Foundational,,Nitsche & Paulus,Germany,2000,J Physiol,Excitability changes in human motor cortex from weak DC stimulation,"Healthy, sham-ctrl","Seminal: anodal=excitation, cathodal=inhibition",Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,≤5,1,☺ Anodal ↑ / cathodal ↓ MEP up to 40%; outlasts stim,https://pubmed.ncbi.nlm.nih.gov/?term=Nitsche%20%26%20Paulus%202000%20tDCS,"VERIFIED (PMC2270099): 35 cm², 0.2–1.0 mA, ≤5 min, M1 / contralateral orbit",,,
★,Physiology / mechanism,After-effects,,Nitsche & Paulus,Germany,2001,Neurology,Sustained excitability elevations from tDCS of motor cortex,Healthy,Longer stim → longer after-effect,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,5–13,1,☺ After-effects up to ~90 min,https://pubmed.ncbi.nlm.nih.gov/?term=Nitsche%20%26%20Paulus%202001%20tDCS,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,Neurochemistry,,Stagg,UK,2009,J Neurosci,Polarity-sensitive modulation of cortical neurotransmitters by tDCS (MRS),"Healthy, crossover","Anodal ↓GABA, cathodal ↓glutamate",Anodal & cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,☺ Neurochemical changes matched excitability direction,https://pubmed.ncbi.nlm.nih.gov/?term=Stagg%202009%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,Dose non-linearity,,Batsikadze,Germany,2013,J Physiol,2 mA cathodal tDCS reverses to excitation,Healthy,Intensity non-linearity of cathodal effects,Cathodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,1,☹/☺ 2 mA cathodal ↑ (not ↓) excitability — dose non-linear,https://pubmed.ncbi.nlm.nih.gov/?term=Batsikadze%202013%20tDCS,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,Repeated dosing,,Monte-Silva,Germany,2013,Brain Stimul,Timing of repeated tDCS gates LTP-like plasticity,Healthy,Second stim within interval → prolonged effect,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,13,1,☺ Repeated anodal within interval prolongs facilitation,https://pubmed.ncbi.nlm.nih.gov/?term=Monte-Silva%202013%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,Visual cortex,,Antal,Germany,2004,J Cogn Neurosci,tDCS of visual cortex modulates phosphene & contrast perception,Healthy,V1 excitability,Anodal & cathodal,Oz (visual cortex),Cz (vertex),1,35,0.029,10,1,☺ Anodal ↑ / cathodal ↓ visual excitability,https://pubmed.ncbi.nlm.nih.gov/?term=Antal%202004%20tDCS,"UNVERIFIED — J Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Motor learning (healthy),Consolidation,,Reis,USA,2009,PNAS,Anodal M1 tDCS boosts multi-day motor skill via consolidation,"Healthy, RCT",5-day sequential visuomotor learning,Anodal,M1 (C3/C4),Contralateral supraorbital,1,25,0.040,20,5,☺ ↑ skill acquisition via consolidation,https://pubmed.ncbi.nlm.nih.gov/?term=Reis%202009%20tDCS,"PARTIAL — PNAS paywalled; montage (M1/right supraorbital), 20 min, 5 sessions consistent w/ source; area 25 cm² & 1 mA NOT source-confirmed",,,
,Motor learning (healthy),Implicit learning,,Nitsche,Germany,2003,J Cogn Neurosci,Anodal tDCS of M1 facilitates implicit motor learning (SRTT),Healthy,Serial reaction-time task,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,15,1,☺ ↑ implicit sequence learning,https://pubmed.ncbi.nlm.nih.gov/?term=Nitsche%202003%20tDCS,"UNVERIFIED — J Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Motor learning (healthy),Visuomotor,,Antal,Germany,2004,Eur J Neurosci,tDCS facilitates visuo-motor coordination learning,Healthy,Tracking task,Anodal,M1 / V5,Contralateral supraorbital,1,35,0.029,10,1,☺ ↑ visuomotor learning,https://pubmed.ncbi.nlm.nih.gov/?term=Antal%202004%20tDCS,"UNVERIFIED — Eur J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Motor learning (healthy),Bilateral,,Vines,USA,2008,BMC Neurosci,Dual-hemisphere tDCS enhances non-dominant hand motor function,Healthy,Bihemispheric > unihemispheric,Anodal+Cathodal (dual),Right M1 (anode),Left M1 (cathode),1,16,0.062,20,1,☺ Dual montage > single for motor gains,https://pubmed.ncbi.nlm.nih.gov/?term=Vines%202008%20tDCS,"UNVERIFIED — BMC Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
