★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Type / polarity,Anode site,Cathode / ref site,Current (mA),Electrode size (cm²),Current density (mA/cm²),t / min,N sessions,Results:  positive ☺ / modest ☺ / null ☹  ↑ ↓ →  (conclusions),Link,Additional info,Comment,Reply,Additional info (2)
★,Physiology / mechanism,Foundational,,Nitsche & Paulus,Germany,2000,J Physiol,Excitability changes induced in the human motor cortex by weak transcranial direct current stimulation,"Sham-controlled, healthy","Seminal paper: anodal=excitation, cathodal=inhibition",Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,≤13 (single),1,☺ Anodal ↑ / cathodal ↓ MEP up to 40%; after-effects outlast stimulation,https://pubmed.ncbi.nlm.nih.gov/?term=Nitsche%20%26%20Paulus%202000%20tDCS,,,,
★,Physiology / mechanism,After-effects,,Nitsche & Paulus,Germany,2001,Neurology,Sustained excitability elevations induced by transcranial DC motor cortex stimulation in humans,"Sham-controlled, healthy",Longer stimulation → longer after-effects,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,5–13,1,☺ Excitability elevation lasting up to ~90 min post-stim,https://pubmed.ncbi.nlm.nih.gov/?term=Nitsche%20%26%20Paulus%202001%20tDCS,,,,
,Cognition (healthy),Working memory,,Fregni,USA / Brazil,2005,Exp Brain Res,Anodal transcranial direct current stimulation of prefrontal cortex enhances working memory,"Crossover, healthy (n=15)",Online 3-back task,Anodal,F3 (left DLPFC),Contralateral supraorbital,1,35,0.029,10,1,☺ ↑ WM accuracy vs cathodal-DLPFC & anodal-M1 controls,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202005%20tDCS,,,,
,Cognition (healthy),Working memory,,Ohn,South Korea,2008,Neuroreport,Time-dependent effect of transcranial direct current stimulation on the enhancement of working memory,"Crossover, healthy",Effect grows with stimulation time,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,30,1,☺ ↑ WM accuracy; time-dependent gains,https://pubmed.ncbi.nlm.nih.gov/?term=Ohn%202008%20tDCS,,,,
★,Motor learning (healthy),Skill consolidation,,Reis,USA,2009,PNAS,Noninvasive cortical stimulation enhances motor skill acquisition over multiple days through an effect on consolidation,"RCT, healthy",5-day motor learning paradigm,Anodal,M1 (C3/C4),Contralateral supraorbital,1,~25,~0.04,20,5,☺ ↑ skill learning driven by improved consolidation,https://pubmed.ncbi.nlm.nih.gov/?term=Reis%202009%20tDCS,,,,
★,Depression,MDD RCT,,Boggio,Brazil,2008,Int J Neuropsychopharmacol,"A randomized, double-blind clinical trial on the efficacy of cortical direct current stimulation for the treatment of major depression",RCT (n=40),Anodal L-DLPFC vs occipital vs sham,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,☺ Significant mood improvement vs sham and vs occipital control,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202008%20tDCS,,,,
,Depression,MDD pilot,,Fregni,Brazil,2006,Bipolar Disord,Treatment of major depression with transcranial direct current stimulation,RCT pilot (n=10),Early sham-controlled tDCS depression trial,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,5,☺ (modest) Mood improvement vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,,,,
,Depression,MDD RCT,,Loo,Australia,2012,Br J Psychiatry,"Transcranial direct current stimulation for depression: 3-week, randomised, sham-controlled trial",RCT (n=64),"Larger sham-controlled trial, 15 sessions",Anodal,F3 (left DLPFC),Lateral (F8 region),2,35,0.057,20,15,☺ (modest) Improvement in active phase; effect grew with more sessions,https://pubmed.ncbi.nlm.nih.gov/?term=Loo%202012%20tDCS,,,,
★,Depression,MDD factorial RCT,,Brunoni,Brazil,2013,JAMA Psychiatry,The sertraline vs electrical current therapy for treating depression clinical study (SELECT-TDCS),RCT 2×2 factorial (n=120),tDCS vs sertraline vs combination vs placebo,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.08,30,10,☺ tDCS and sertraline each > placebo; combination most effective,https://pubmed.ncbi.nlm.nih.gov/?term=Brunoni%202013%20tDCS,,,,
★,Depression,MDD non-inferiority RCT,,Brunoni,Brazil,2017,N Engl J Med,Trial of Electrical Direct-Current Therapy versus Escitalopram for Depression (ELECT-TDCS),RCT non-inferiority (n=245),tDCS NOT non-inferior to escitalopram; more adverse events (incl. mania),Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.08,30,22 (15 daily + 7 weekly),☹/☺ tDCS > placebo on some outcomes but < escitalopram; safety signal,https://pubmed.ncbi.nlm.nih.gov/?term=Brunoni%202017%20tDCS,,,,
,Depression,Home-based RCT,,Woodham / Fu,UK,2024,Nat Med,Home-based transcranial direct current stimulation treatment for major depressive disorder: a fully remote phase 2 randomized sham-controlled trial,"RCT, remote/home (Flow)",Fully remote 10-week protocol,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,30,~35 (10 wk),☺ Active home tDCS > sham on depression severity and remission,https://pubmed.ncbi.nlm.nih.gov/?term=Woodham%20/%20Fu%202024%20tDCS,,,,
★,Stroke rehab,Motor (chronic),,Hummel,USA,2005,Brain,Effects of non-invasive cortical stimulation on skilled motor function in chronic stroke,"Crossover, sham-controlled (n=6)",Ipsilesional M1 anodal,Anodal,Ipsilesional M1,Contralateral supraorbital,1,35,0.029,20,1,☺ ↑ Jebsen-Taylor & pinch force; effect outlasts stimulation ≥40 min,https://pubmed.ncbi.nlm.nih.gov/?term=Hummel%202005%20tDCS,,,,
★,Stroke rehab,Motor (bihemispheric),,Lindenberg,USA,2010,Neurology,Bihemispheric brain stimulation facilitates motor recovery in chronic stroke patients,RCT (n=20),Dual-tDCS + physical/occupational therapy,Anodal+Cathodal (dual),Ipsilesional M1 (anode),Contralesional M1 (cathode),1.5,16–25,~0.07,30,5,☺ ↑ motor function vs sham; retained ≥1 week,https://pubmed.ncbi.nlm.nih.gov/?term=Lindenberg%202010%20tDCS,,,,
★,Aphasia (post-stroke),Naming,,Baker,USA,2010,Stroke,Using transcranial direct-current stimulation to treat stroke patients with aphasia,"Crossover, sham-controlled (n=10)",Anode over fMRI-defined left frontal region,Anodal,"Left frontal (perilesional, fMRI-guided)",Right supraorbital,1,—,—,20,5,☺ ↑ naming accuracy (treated & untreated items); maintained ≥1 week,https://pubmed.ncbi.nlm.nih.gov/?term=Baker%202010%20tDCS,,,,
★,Chronic pain,Fibromyalgia,,Fregni,USA / Brazil,2006,Arthritis Rheum,"A randomized, sham-controlled, proof of principle study of transcranial direct current stimulation for the treatment of pain in fibromyalgia",RCT (n=32),Anodal M1 vs anodal DLPFC vs sham,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,☺ M1 stimulation ↓ pain vs sham and vs DLPFC,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,,,,
,Chronic pain,SCI central pain,,Fregni,USA / Brazil,2006,Pain,"A sham-controlled, phase II trial of transcranial direct current stimulation for the treatment of central pain in traumatic spinal cord injury",RCT (n=17),Anodal M1,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,☺ ↓ central neuropathic pain vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,,,,
★,Epilepsy,Refractory / focal,,Fregni,Brazil / USA,2006,Epilepsia,A controlled clinical trial of cathodal DC polarization in patients with refractory epilepsy,RCT (n=19),Cathodal over epileptogenic focus,Cathodal,Epileptogenic focus,Contralateral / extracephalic,1,35,0.029,20,1,☺ ↓ seizure frequency (−44%) and interictal epileptiform discharges vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,,,,
★,Schizophrenia,Auditory hallucinations,,Brunelin,France,2012,Am J Psychiatry,Examining transcranial direct-current stimulation (tDCS) as a treatment for hallucinations in schizophrenia,RCT (n=30),"Fronto-temporal montage, 2×/day for 5 days",Anodal + cathodal,"Left DLPFC (F3, anode)",Left temporoparietal junction (cathode),2,35,0.057,20,10 (2×/day ×5 d),☺ Robust ↓ auditory hallucinations; effect lasting up to 3 months,https://pubmed.ncbi.nlm.nih.gov/?term=Brunelin%202012%20tDCS,,,,
,Addiction / craving,Alcohol,,Boggio,Brazil,2008,Drug Alcohol Depend,Prefrontal cortex modulation using transcranial direct current stimulation reduces alcohol craving,"Crossover, sham-controlled (n=13)",Bilateral DLPFC montage,Anodal/cathodal (bilateral),Right or left DLPFC,Contralateral DLPFC,2,35,0.057,20,1,☺ ↓ alcohol craving vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202008%20tDCS,,,,
,Addiction / craving,Smoking,,Fregni,Brazil,2008,J Clin Psychiatry,Cortical stimulation of the prefrontal cortex with transcranial direct current stimulation reduces cue-provoked smoking craving,"Crossover, sham-controlled (n=24)",Bilateral DLPFC,Anodal/cathodal (bilateral),Left DLPFC (F3),Right DLPFC (F4),2,35,0.057,20,1,☺ ↓ cue-provoked smoking craving vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202008%20tDCS,,,,
,Appetite / craving,Food craving,,Fregni,Brazil / USA,2008,Appetite,Transcranial direct current stimulation of the prefrontal cortex modulates the desire for specific foods,"Crossover, healthy (n=23)",Right-anodal vs left-anodal vs sham,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,1,☺ ↓ food craving with right-anodal DLPFC,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202008%20tDCS,,,,
,Parkinson's disease,Motor / gait,,Benninger,USA,2010,J Neurol Neurosurg Psychiatry,Transcranial direct current stimulation for the treatment of Parkinson's disease,RCT (n=25),Anode alternated motor / prefrontal; 8 sessions / 2.5 wk,Anodal,Motor & prefrontal cortices (alternating),Extracephalic / mastoid,2,25–35,~0.07,20,8,☺ (modest) ↑ gait & bradykinesia short-term; several measures null,https://pubmed.ncbi.nlm.nih.gov/?term=Benninger%202010%20tDCS,,,,
,Migraine,Prophylaxis,,Antal,Germany,2011,Cephalalgia,Cathodal transcranial direct current stimulation of the visual cortex in the prophylactic treatment of migraine,RCT,"Cathodal visual cortex, 6-week course",Cathodal,Occipital / visual cortex (Oz),Vertex (Cz),1,35,0.029,15,multiple (6 wk),☺ (modest) ↓ attack duration & pain intensity,https://pubmed.ncbi.nlm.nih.gov/?term=Antal%202011%20tDCS,,,,
,Tinnitus,Bifrontal,,Vanneste,Belgium,2010,Exp Brain Res,Bilateral dorsolateral prefrontal cortex modulation for tinnitus by transcranial direct current stimulation,Crossover,Bifrontal DLPFC montage,Anodal R / cathodal L,Right DLPFC,Left DLPFC,1.5,35,~0.04,20,1,☺ (modest) Transient tinnitus loudness/distress suppression,https://pubmed.ncbi.nlm.nih.gov/?term=Vanneste%202010%20tDCS,,,,
,Alzheimer's / dementia,Memory,,Boggio,Brazil,2012,Brain Stimul,Prolonged visual memory enhancement after direct current stimulation in Alzheimer's disease,RCT (n=15),Bitemporal anodal montage,Anodal,Bilateral temporal (T3/T4),Contralateral / extracephalic,2,35,0.057,30,5,☺ ↑ visual recognition memory vs sham; effect persisted,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202012%20tDCS,,,,
,ADHD,Adult inattention,,Leffa,Brazil,2022,JAMA Psychiatry,Transcranial Direct Current Stimulation vs Sham for the Treatment of Inattention in Adults With ADHD,"RCT, home-based (n=64)","Right-anodal DLPFC, 28 home sessions",Anodal,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,30,28,☺ ↓ inattention symptoms vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Leffa%202022%20tDCS,,,,
