★	Category	Subcategory		First author	Country	Year	Journal	Title	Study type	Notes	Coil type	Target site	Stim type	Freq (Hz)	Intensity (%MT)	Pulses / session	Total pulses (course)	Localization	t / session	N sessions	Results (☺ positive / modest / ☹ null → conclusions)	Link
☺	Depression (MDD)	Pivotal RCT		O'Reardon	USA (multisite)	2007	Biol Psychiatry	Efficacy and safety of TMS in the acute treatment of major depression: a multisite randomized controlled trial	RCT, sham-controlled, n=301	Neuronetics NeuroStar registration trial; basis of first FDA clearance (2008)	Figure-8	Left DLPFC	rTMS	10	120% RMT	3000	~90,000 (30 sessions)	5 cm rule	~37.5 min	up to 30 (4-6 wk)	Active > sham on MADRS at wk 4-6; established HF-left-DLPFC as standard	https://pubmed.ncbi.nlm.nih.gov/?term=O'Reardon%202007%20TMS
☺	Depression (MDD)	Pivotal RCT (NIH)		George	USA (4 sites)	2010	Arch Gen Psychiatry	Daily left prefrontal TMS therapy for major depressive disorder: a sham-controlled randomized trial (OPT-TMS)	RCT, n=190	NIH-funded, industry-independent confirmation	Figure-8	Left DLPFC	rTMS	10	120% RMT	3000	~90,000	5.5 cm / MRI-guided subset	~37.5 min	15-30 (3-6 wk)	Remission 14% vs 5% sham; independent efficacy confirmation	https://pubmed.ncbi.nlm.nih.gov/?term=George%202010%20TMS
☺	Depression (MDD)	TBS non-inferiority		Blumberger	Canada	2018	Lancet	Effectiveness of theta burst versus high-frequency rTMS in depression (THREE-D): randomized non-inferiority trial	RCT non-inferiority, n=414	Landmark: iTBS ≈ 10Hz but far shorter session	Figure-8	Left DLPFC	iTBS	50 (triplet @5Hz)	120% RMT	600	~18,000 (30)	MRI-navigation / 5.5 cm	~3 min	up to 30	iTBS non-inferior to 10Hz rTMS; enabled high patient throughput	https://pubmed.ncbi.nlm.nih.gov/?term=Blumberger%202018%20TMS
☺	Depression (MDD)	Deep TMS (H1)		Levkovitz	Israel / multinational	2015	World Psychiatry	Efficacy and safety of deep TMS for major depression: a prospective multicenter randomized controlled trial	RCT, n=212	BrainsWay H1 coil; FDA cleared 2013	H1 deep coil	Bilateral PFC (L>R)	dTMS	18	120% RMT	1980	~39,600 (20)	Beam/marked from motor threshold	~20 min	20 + maintenance	Active > sham on HDRS; FDA-cleared deep TMS for MDD	https://pubmed.ncbi.nlm.nih.gov/?term=Levkovitz%202015%20TMS
☺	Depression (MDD)	Accelerated iTBS (proof-of-concept)		Cole (SAINT)	USA (Stanford)	2020	Am J Psychiatry	Stanford Accelerated Intelligent Neuromodulation Therapy for Treatment-Resistant Depression (SAINT-TRD)	Open-label, n=21	Launched accelerated fMRI-guided field	Figure-8	Left DLPFC (fMRI, sgACC-anticorrelated)	Accelerated iTBS	50	90% rMT (depth-corrected)	1800	90,000 (10/day x 5 d)	fMRI functional-connectivity	10 x ~10 min/day	50 (5 days)	~90% remission open-label; hypothesis-generating	https://pubmed.ncbi.nlm.nih.gov/?term=Cole%20SAINT%202020%20TMS
☺	Depression (MDD)	Accelerated iTBS RCT		Cole (SNT)	USA (Stanford)	2022	Am J Psychiatry	Stanford Neuromodulation Therapy (SNT): a double-blind randomized controlled trial	RCT, sham, n=29	Confirmatory; SAINT FDA-cleared 2022	Figure-8	Left DLPFC (fMRI-guided)	Accelerated iTBS	50	90% rMT	1800	90,000	fMRI functional-connectivity	10/day x 5 days	50	Remission 78.6% active vs 13.3% sham (MADRS)	https://pubmed.ncbi.nlm.nih.gov/?term=Cole%20SNT%202022%20TMS
☺	Depression (MDD)	Naturalistic effectiveness		Carpenter	USA (42 sites)	2012	Depress Anxiety	TMS for major depression: a multisite naturalistic observational study of acute outcomes in clinical practice	Observational, n=307	Real-world effectiveness registry	Figure-8	Left DLPFC	rTMS	10	120% RMT	3000	—	5 cm / clinical	~37 min	~28 avg	Response 58%, remission 37% (CGI-S); real-world validation	https://pubmed.ncbi.nlm.nih.gov/?term=Carpenter%202012%20TMS
☺	Depression (MDD)	Meta-analysis		Berlim	Canada	2014	Neuropsychopharmacology	Response and remission rates with HF-rTMS in MDD: systematic review and meta-analysis of RCTs	Meta-analysis, 29 RCTs	Pooled HF-rTMS vs sham	Figure-8	Left DLPFC	rTMS (HF)	10	110-120% RMT	—	—	—	—	—	Response OR ~3.3, remission OR ~5.1 vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Berlim%202014%20TMS
☺	Depression (MDD)	Network meta-analysis		Brunoni	Brazil / intl	2017	JAMA Psychiatry	Repetitive TMS for the acute treatment of major depressive episodes: systematic review and network meta-analysis	NMA, 81 RCTs, n≈4233	Compares protocol families	—	DLPFC	rTMS / TBS / dTMS	various	—	—	—	—	—	—	All active protocols > sham; priming, bilateral, HF-left, iTBS effective	https://pubmed.ncbi.nlm.nih.gov/?term=Brunoni%202017%20TMS
☺	Depression (MDD)	Sequential bilateral		Fitzgerald	Australia	2006	Arch Gen Psychiatry	A randomized trial of rTMS in treatment-resistant depression (sequential bilateral)	RCT	LF right then HF left DLPFC	Figure-8	Bilateral DLPFC	rTMS	1 (R) + 10 (L)	100-110% RMT	—	—	—	—	up to 30	Sequential bilateral rTMS effective in TRD	https://pubmed.ncbi.nlm.nih.gov/?term=Fitzgerald%202006%20TMS
☺	OCD	Deep TMS pivotal		Carmi	Israel / USA multicenter	2019	Am J Psychiatry	Efficacy and safety of deep TMS for OCD: a prospective multicenter randomized double-blind placebo-controlled trial	RCT, n=99	Symptom provocation before each session; FDA cleared H7 (2018)	H7 deep coil	dmPFC + ACC	dTMS	20	100% MT	2000	58,000 (29)	Individualized provocation + coil position	~18 min	29 (6 wk)	Response 38% vs 11% sham (YBOCS); FDA clearance for OCD	https://pubmed.ncbi.nlm.nih.gov/?term=Carmi%202019%20TMS
☺	OCD	SMA rTMS (pilot)		Mantovani	USA	2010	Int J Neuropsychopharmacol	Randomized sham-controlled trial of rTMS to the SMA for OCD and Tourette syndrome	RCT pilot	Low-frequency pre-SMA	Figure-8	Pre-SMA (bilateral)	rTMS	1	100% MT	1200	—	midline SMA	~20 min	~20	LF SMA reduced OCD symptom severity	https://pubmed.ncbi.nlm.nih.gov/?term=Mantovani%202010%20TMS
☺	OCD	Real-world registry		Roth / Tendler	multi-site (22)	2021	J Psychiatr Res	Real-world efficacy of deep TMS for OCD: post-marketing data from 22 clinical sites	Registry / post-marketing	Confirms pivotal in practice	H7 deep coil	dmPFC / ACC	dTMS	20	100% MT	2000	—	provocation	~18 min	~20-29	Meaningful YBOCS response in majority; durable	https://pubmed.ncbi.nlm.nih.gov/?term=Roth%20%2F%20Tendler%202021%20TMS
☺	Addiction – Smoking	Deep TMS pivotal		Zangen	Israel / US / EU multicenter	2021	World Psychiatry	Repetitive deep TMS for smoking cessation: a multicenter randomized double-blind controlled trial	RCT, n=262	FDA cleared H4 (2020) - first TMS device for addiction	H4 deep coil	Bilateral lateral PFC + insula	dTMS	10	120% MT	1800	~32,400 (18)	smoking-cue provocation	~15 min	18 (15 daily + 3 weekly)	Continuous quit rate (completers) 28% vs 12% sham; ITT 19.4% vs 8.7%; first FDA clearance for an addiction indication	https://pubmed.ncbi.nlm.nih.gov/?term=Zangen%202021%20TMS
☺	Addiction – Smoking	Pilot		Dinur-Klein	Israel	2014	Biol Psychiatry	Smoking cessation induced by deep rTMS of the prefrontal and insular cortices	RCT	HF dTMS + cue provocation	H-coil	PFC + insula	dTMS	10	120% MT	1800	—	cue provocation	—	13	HF dTMS reduced cigarette consumption and craving	https://pubmed.ncbi.nlm.nih.gov/?term=Dinur-Klein%202014%20TMS
☺	Addiction – Cocaine	DLPFC rTMS (pilot)		Terraneo	Italy	2016	Eur Neuropsychopharmacol	TMS of dorsolateral prefrontal cortex reduces cocaine use: a pilot study	RCT / pilot	HF left DLPFC vs pharmacological	Figure-8	Left DLPFC	rTMS	15	100% RMT	2400	—	5 cm	—	~8 + maintenance	Reduced cocaine craving and use vs control	https://pubmed.ncbi.nlm.nih.gov/?term=Terraneo%202016%20TMS
☺	Addiction – Alcohol	Right DLPFC rTMS		Mishra	India	2010	Addiction	HF rTMS of right DLPFC for craving in alcohol dependence	RCT	Right DLPFC 10Hz	Figure-8	Right DLPFC	rTMS	10	110% RMT	1000	10,000 (10)	—	—	10	Reduced alcohol craving vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Mishra%202010%20TMS
☺	Anxious depression	FDA label expansion		(BrainsWay / Neuronetics)	USA	2020	(regulatory + trials)	Deep TMS / rTMS clearance for comorbid anxiety symptoms in MDD ("anxious depression")	Regulatory + pooled trials	FDA 2020 expanded indications	H1 / Figure-8	Left DLPFC	dTMS / rTMS	18 / 10	120%	1980 / 3000	—	standard	~20-37 min	20-30	Improves anxiety symptoms in patients treated for MDD	https://www.fda.gov/
☺ (modest)	Generalized anxiety (GAD)	LF right DLPFC		Diefenbach	USA	2016	Br J Psychiatry	LF rTMS of the right DLPFC for generalized anxiety disorder: randomized sham-controlled trial	RCT pilot	1Hz right DLPFC	Figure-8	Right DLPFC	rTMS	1	90% RMT	900	—	5 cm / F4	~30 min	30	LF right DLPFC reduced GAD symptoms vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Diefenbach%202016%20TMS
☺	PTSD	HF right DLPFC		Cohen	Israel	2004	Am J Psychiatry	Repetitive TMS of the right dorsolateral prefrontal cortex in PTSD: double-blind placebo-controlled study	RCT	10Hz right DLPFC	Figure-8	Right DLPFC	rTMS	10	80% MT	400	4000 (10)	5 cm	—	10	HF right DLPFC reduced core PTSD symptoms	https://pubmed.ncbi.nlm.nih.gov/?term=Cohen%202004%20TMS
☺	PTSD	rTMS + exposure		Kozel	USA (VA)	2018	J Affect Disord	Repetitive TMS combined with cognitive/exposure therapy for PTSD in veterans	RCT	rTMS augmenting psychotherapy	Figure-8	Right DLPFC	rTMS	1	110% RMT	—	—	—	—	up to 12-15	rTMS augmented psychotherapy response vs sham+therapy	https://pubmed.ncbi.nlm.nih.gov/?term=Kozel%202018%20TMS
☺	Schizophrenia	Auditory hallucinations		Hoffman	USA (Yale)	2003	Arch Gen Psychiatry	TMS of left temporoparietal cortex and medication-resistant auditory hallucinations	RCT crossover	LF 1Hz temporoparietal	Figure-8	Left temporoparietal (T3-P3)	rTMS	1	90% MT	up to 960 (escalating)	—	10-20 T3-P3 midpoint	8-16 min (escalating)	9	1Hz left TPC reduced auditory hallucination severity (n=12); benefit >=12 wk in half of responders	https://pubmed.ncbi.nlm.nih.gov/?term=Hoffman%202003%20TMS
