★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Montage (electrodes),Target region,Frequency (Hz),Intensity (mA),Electrode size / density,Phase / waveform,Duration (min),N sessions,Results (☺ positive / modest / ☹ null → conclusions),Link
⚔ ref,Mechanism / validation,Foundational (first human tACS),,Antal,Germany,2008,Brain Stimul,Comparatively weak after-effects of transcranial alternating current stimulation (tACS) on cortical excitability in humans,"Physiology, healthy",First systematic human tACS study,Bifrontal / M1-orbit,Motor cortex (M1),1-45,0.4-1 mA,~16 cm² (sponge),Sinusoidal AC,2-5 min,1,Frequency-dependent effects on excitability; launched human tACS field,https://pubmed.ncbi.nlm.nih.gov/?term=Antal%202008%20tACS
⚔ ref,Mechanism / validation,Phosphenes (visual),,Kanai,UK,2008,Curr Biol,Frequency-dependent electrical stimulation of the visual system,"Physiology, healthy",tACS over occipital cortex evokes phosphenes,Oz-Cz,Occipital / visual cortex,β/α (state-dependent),up to ~1 mA,~16 cm²,Sinusoidal AC,seconds-min,1,Phosphene threshold frequency depends on background lighting; direct cortical AC effect,https://pubmed.ncbi.nlm.nih.gov/?term=Kanai%202008%20tACS
☺,Mechanism / validation,Alpha entrainment (EEG aftereffect),,Zaehle,Germany,2010,PLoS One,Transcranial alternating current stimulation enhances individual alpha activity in human EEG,"EEG, healthy",10Hz tACS at individual alpha frequency,Cz-Oz,Parieto-occipital,individual alpha (~10),1 mA,~16 cm²,Sinusoidal AC,10 min,1,Increased alpha power outlasting stimulation; first EEG aftereffect evidence,https://pubmed.ncbi.nlm.nih.gov/?term=Zaehle%202010%20tACS
⚔ ref,Mechanism / validation,Computational model,,Ali,USA,2013,J Neurosci,Transcranial alternating current stimulation modulates large-scale cortical network activity by network resonance,Modeling,Predicts entrainment/resonance,—,Cortical networks,broadband,—,—,Sinusoidal AC,—,—,tACS entrains network oscillations via resonance; frequency-specific,https://pubmed.ncbi.nlm.nih.gov/?term=Ali%202013%20tACS
⚔ ref,Mechanism / validation,Mechanisms review,,Herrmann,Germany,2013,Front Hum Neurosci,Transcranial alternating current stimulation: a review of the underlying mechanisms and modulation of cognitive processes,Review,Entrainment + plasticity aftereffects,—,—,—,—,—,Sinusoidal AC,—,—,Frames online entrainment vs offline plasticity aftereffects,https://pubmed.ncbi.nlm.nih.gov/?term=Herrmann%202013%20tACS
☺,Mechanism / validation,Intracranial validation (human),,Lafon,USA,2017,Nat Commun,Low frequency transcranial electrical stimulation does not entrain sleep rhythms measured by human intracranial recordings,"Intracranial, epilepsy",Depth electrodes during stimulation,Frontal,Cortex (intracranial),~1 (SO),up to 2.5 mA,—,Sinusoidal AC,—,—,Weak/absent entrainment of sleep rhythms at scalp doses; cautionary evidence,https://pubmed.ncbi.nlm.nih.gov/?term=Lafon%202017%20tACS
☹,Mechanism / validation,Scalp shunting caution,,Vöröslakos,Hungary / USA,2018,Nat Commun,Direct effects of transcranial electric stimulation on brain circuits in rats and humans,"Intracerebral, human cadaver + rat",Most current shunted by scalp,Various,Cortex,—,up to ~4-6 mA needed,—,AC / DC,—,—,~75% of scalp current shunted; conventional 1-2 mA may be subthreshold (methodological caution),https://pubmed.ncbi.nlm.nih.gov/?term=V%C3%B6r%C3%B6slakos%202018%20tACS
☺,Mechanism / validation,Intracranial (primate),,Krause,USA,2019,PNAS,Transcranial alternating current stimulation entrains single-neuron activity in the primate brain,"Intracranial, monkey",Single-unit entrainment,—,Cortex (intracranial),band-specific,1-2 mA,—,Sinusoidal AC,—,—,Direct evidence tACS entrains spiking phase at behaviorally relevant intensities,https://pubmed.ncbi.nlm.nih.gov/?term=Krause%202019%20tACS
☺,Mechanism / validation,"Intracranial (human, dose)",,Johnson,USA,2020,Sci Adv,Dose-dependent enhancement of theta oscillations by tACS in the human brain,"Intracranial, epilepsy",sEEG during theta tACS,Temporal,Cortex (intracranial),theta,1-2 mA,—,Sinusoidal AC,—,—,Dose-dependent theta enhancement; supports entrainment at clinical doses,https://pubmed.ncbi.nlm.nih.gov/?term=Johnson%202020%20tACS
⚔ ref,Mechanism / validation,Safety guidelines,,Antal,Europe (intl),2017,Clin Neurophysiol,"Low intensity transcranial electric stimulation: safety, ethical, legal and regulatory issues",Consensus / guideline,tES safety consensus,—,—,—,≤4 mA (guideline),—,AC / DC / RN,—,—,Safety and dosing recommendations for low-intensity tES (incl. tACS),https://pubmed.ncbi.nlm.nih.gov/?term=Antal%202017%20tACS
⚔ ref,Mechanism / validation,Review (cognition),,Vosskuhl,Germany,2018,Front Hum Neurosci,Non-invasive brain stimulation: a paradigm shift in understanding brain oscillations,Review,tACS and cognition,—,—,—,—,—,Sinusoidal AC,—,—,Synthesizes tACS oscillation-behavior causal evidence,https://pubmed.ncbi.nlm.nih.gov/?term=Vosskuhl%202018%20tACS
⚔ ref,Mechanism / validation,Review (clinical),,Elyamany,Germany,2021,Eur Arch Psychiatry Clin Neurosci,Transcranial alternating current stimulation (tACS): from basic mechanisms towards first applications in psychiatry,Review,Clinical/psychiatric applications,—,—,—,—,—,Sinusoidal AC,—,—,Reviews mechanistic basis and emerging psychiatric applications,https://pubmed.ncbi.nlm.nih.gov/?term=Elyamany%202021%20tACS
☺,Motor / movement,Beta slows movement,,Pogosyan,UK,2009,Curr Biol,Boosting cortical activity at beta-band frequencies slows movement in humans,"Behavior, healthy",20Hz tACS over M1,C3-mastoid,Motor cortex (M1),20 (beta),1 mA,~16 cm²,Sinusoidal AC,short,1,20Hz tACS slowed voluntary movement — causal role of beta in motor slowing,https://pubmed.ncbi.nlm.nih.gov/?term=Pogosyan%202009%20tACS
